Geometry Dash 2.2 beta ARMv7 native import manifest
imports=396 objects=5

RUNTIME ORDER (the SVC/import trampoline mapping actually used by Dynarmic)
INDEX	SVC	STUB	GROUP	NAME
393	394	0x21000c48	LIBC	__dynarmic_v22_edit_level_onEdit
394	395	0x21000c50	LIBC	__dynarmic_v22_pause_onEdit
395	396	0x21000c58	LIBC	__dynarmic_v22_end_onEdit

ALPHABETICAL INDEX
FMOD	FMOD_System_Create
LIBC	_ZN11HookManager7do_hookEPvS0_S0_b
FMOD	_ZN4FMOD14ChannelControl11setCallbackEPF11FMOD_RESULTP19FMOD_CHANNELCONTROL24FMOD_CHANNELCONTROL_TYPE33FMOD_CHANNELCONTROL_CALLBACK_TYPEPvS6_E
FMOD	_ZN4FMOD14ChannelControl4stopEv
FMOD	_ZN4FMOD14ChannelControl6getDSPEiPPNS_3DSPE
FMOD	_ZN4FMOD14ChannelControl7setModeEj
FMOD	_ZN4FMOD14ChannelControl9getPausedEPb
FMOD	_ZN4FMOD14ChannelControl9getVolumeEPf
FMOD	_ZN4FMOD14ChannelControl9isPlayingEPb
FMOD	_ZN4FMOD14ChannelControl9setPausedEb
FMOD	_ZN4FMOD14ChannelControl9setVolumeEf
FMOD	_ZN4FMOD3DSP15getMeteringInfoEP22FMOD_DSP_METERING_INFOS2_
FMOD	_ZN4FMOD3DSP18setMeteringEnabledEbb
FMOD	_ZN4FMOD5Sound7releaseEv
FMOD	_ZN4FMOD6System10getVersionEPj
FMOD	_ZN4FMOD6System11createSoundEPKcjP22FMOD_CREATESOUNDEXINFOPPNS_5SoundE
FMOD	_ZN4FMOD6System11mixerResumeEv
FMOD	_ZN4FMOD6System12createStreamEPKcjP22FMOD_CREATESOUNDEXINFOPPNS_5SoundE
FMOD	_ZN4FMOD6System12mixerSuspendEv
FMOD	_ZN4FMOD6System17getSoftwareFormatEPiP16FMOD_SPEAKERMODES1_
FMOD	_ZN4FMOD6System17setSoftwareFormatEi16FMOD_SPEAKERMODEi
FMOD	_ZN4FMOD6System4initEijPv
FMOD	_ZN4FMOD6System5closeEv
FMOD	_ZN4FMOD6System6updateEv
FMOD	_ZN4FMOD6System7releaseEv
FMOD	_ZN4FMOD6System9playSoundEPNS_5SoundEPNS_12ChannelGroupEbPPNS_7ChannelE
FMOD	_ZN4FMOD6System9setOutputE15FMOD_OUTPUTTYPE
FMOD	_ZN4FMOD7Channel11getPositionEPjj
FMOD	_ZN4FMOD7Channel11setPositionEjj
LIBC	__aeabi_memclr
LIBC	__aeabi_memclr4
LIBC	__aeabi_memclr8
LIBC	__aeabi_memcpy
LIBC	__aeabi_memcpy8
LIBC	__aeabi_memmove
LIBC	__aeabi_memmove4
LIBC	__aeabi_memset
LIBC	__android_log_print
LIBC	__assert2
LIBC	__cxa_atexit
LIBC	__cxa_finalize
LIBC	__dynarmic_ccapplication_openURL
LIBC	__dynarmic_ccfileutils_getFileDataFromZip
LIBC	__dynarmic_v22_creator_editor_unlock
LIBC	__dynarmic_v22_edit_level_onEdit
LIBC	__dynarmic_v22_editor_visibility
LIBC	__dynarmic_v22_end_onEdit
LIBC	__dynarmic_v22_level_settings_from_string
LIBC	__dynarmic_v22_native_http_send
LIBC	__dynarmic_v22_pause_onEdit
LIBC	__dynarmic_v22_play_visibility
LIBC	__dynarmic_v22_prepare_level_setup
LIBC	__dynarmic_ziputils_ccInflateMemory
LIBC	__errno
LIBC	__fpclassifyd
LIBC	__gnu_Unwind_Find_exidx
LIBC	__google_potentially_blocking_region_begin
LIBC	__google_potentially_blocking_region_end
LIBC	__isnanf
LIBC	__stack_chk_fail
LIBC	abort
LIBC	accept
LIBC	access
LIBC	acos
LIBC	acosf
LIBC	alarm
LIBC	asinf
LIBC	asinh
LIBC	atan
LIBC	atan2
LIBC	atan2f
LIBC	atof
LIBC	atoi
LIBC	basename
LIBC	bind
LIBC	bsd_signal
LIBC	bsearch
LIBC	btowc
LIBC	calloc
LIBC	ceil
LIBC	ceilf
LIBC	chmod
LIBC	clock
LIBC	clock_gettime
LIBC	close
LIBC	closedir
LIBC	connect
LIBC	cos
LIBC	cosf
LIBC	dlclose
LIBC	dlerror
LIBC	dlopen
LIBC	dlsym
LIBC	dup
LIBC	dup2
LIBC	execl
LIBC	exit
LIBC	exp
LIBC	expf
LIBC	fclose
LIBC	fcntl
LIBC	fdopen
LIBC	ferror
LIBC	fflush
LIBC	fgets
LIBC	fileno
LIBC	floor
LIBC	floorf
LIBC	fmod
LIBC	fmodf
LIBC	fopen
LIBC	fork
LIBC	fprintf
LIBC	fputc
LIBC	fputs
LIBC	fread
LIBC	free
LIBC	freeaddrinfo
LIBC	frexp
LIBC	fseek
LIBC	fstat
LIBC	ftell
LIBC	fwrite
LIBC	gai_strerror
LIBC	getaddrinfo
LIBC	getc
LIBC	getegid
LIBC	getenv
LIBC	geteuid
LIBC	getgid
LIBC	gethostbyname
LIBC	gethostname
LIBC	getnameinfo
LIBC	getpeername
LIBC	getpid
LIBC	getpwuid
LIBC	getsockname
LIBC	getsockopt
LIBC	gettimeofday
LIBC	getuid
LIBC	getwc
GL	glActiveTexture
GL	glAttachShader
GL	glBindAttribLocation
GL	glBindBuffer
GL	glBindFramebuffer
GL	glBindRenderbuffer
GL	glBindTexture
GL	glBlendEquation
GL	glBlendFunc
GL	glBufferData
GL	glBufferSubData
GL	glCheckFramebufferStatus
GL	glClear
GL	glClearColor
GL	glClearDepthf
GL	glClearStencil
GL	glCompileShader
GL	glCompressedTexImage2D
GL	glCreateProgram
GL	glCreateShader
GL	glDeleteBuffers
GL	glDeleteFramebuffers
GL	glDeleteProgram
GL	glDeleteRenderbuffers
GL	glDeleteShader
GL	glDeleteTextures
GL	glDepthFunc
GL	glDepthMask
GL	glDisable
GL	glDisableVertexAttribArray
GL	glDrawArrays
GL	glDrawElements
GL	glEnable
GL	glEnableVertexAttribArray
GL	glFramebufferRenderbuffer
GL	glFramebufferTexture2D
GL	glGenBuffers
GL	glGenFramebuffers
GL	glGenRenderbuffers
GL	glGenTextures
GL	glGenerateMipmap
GL	glGetBooleanv
GL	glGetError
GL	glGetFloatv
GL	glGetIntegerv
GL	glGetProgramInfoLog
GL	glGetProgramiv
GL	glGetShaderInfoLog
GL	glGetShaderSource
GL	glGetShaderiv
GL	glGetString
GL	glGetUniformLocation
GL	glIsEnabled
GL	glLineWidth
GL	glLinkProgram
GL	glPixelStorei
GL	glReadPixels
GL	glRenderbufferStorage
GL	glScissor
GL	glShaderSource
GL	glStencilFunc
GL	glStencilMask
GL	glStencilOp
GL	glTexImage2D
GL	glTexParameteri
GL	glUniform1f
GL	glUniform1i
GL	glUniform2f
GL	glUniform2fv
GL	glUniform2i
GL	glUniform2iv
GL	glUniform3f
GL	glUniform3fv
GL	glUniform3i
GL	glUniform3iv
GL	glUniform4f
GL	glUniform4fv
GL	glUniform4i
GL	glUniform4iv
GL	glUniformMatrix3fv
GL	glUniformMatrix4fv
GL	glUseProgram
GL	glVertexAttribPointer
GL	glViewport
LIBC	gmtime
LIBC	gmtime_r
LIBC	if_nametoindex
LIBC	inet_ntop
LIBC	inet_pton
LIBC	initgroups
LIBC	ioctl
LIBC	isalnum
LIBC	isalpha
LIBC	isprint
LIBC	isspace
LIBC	iswctype
LIBC	isxdigit
LIBC	kill
LIBC	listen
LIBC	log
LIBC	log10
LIBC	logf
LIBC	longjmp
LIBC	lrand48
LIBC	lroundf
LIBC	lseek
LIBC	malloc
LIBC	mbrtowc
LIBC	memchr
LIBC	memcmp
LIBC	memcpy
LIBC	memmem
LIBC	memmove
LIBC	memrchr
LIBC	memset
LIBC	mkdir
LIBC	mlock
LIBC	mmap
LIBC	modf
LIBC	mprotect
LIBC	munmap
LIBC	open
LIBC	opendir
LIBC	pipe
LIBC	poll
LIBC	pow
LIBC	powf
LIBC	printf
LIBC	pthread_attr_init
LIBC	pthread_cond_destroy
LIBC	pthread_cond_init
LIBC	pthread_cond_signal
LIBC	pthread_cond_wait
LIBC	pthread_create
LIBC	pthread_detach
LIBC	pthread_equal
LIBC	pthread_exit
LIBC	pthread_getspecific
LIBC	pthread_join
LIBC	pthread_key_create
LIBC	pthread_key_delete
LIBC	pthread_mutex_destroy
LIBC	pthread_mutex_init
LIBC	pthread_mutex_lock
LIBC	pthread_mutex_unlock
LIBC	pthread_once
LIBC	pthread_rwlock_destroy
LIBC	pthread_rwlock_init
LIBC	pthread_rwlock_rdlock
LIBC	pthread_rwlock_unlock
LIBC	pthread_rwlock_wrlock
LIBC	pthread_self
LIBC	pthread_setspecific
LIBC	putc
LIBC	putwc
LIBC	qsort
LIBC	raise
LIBC	rand
LIBC	read
LIBC	readdir
LIBC	realloc
LIBC	recv
LIBC	recvfrom
LIBC	remove
LIBC	rename
LIBC	round
LIBC	roundf
LIBC	sched_yield
LIBC	send
LIBC	sendto
LIBC	setbuf
LIBC	setgid
LIBC	setjmp
LIBC	setlocale
LIBC	setsockopt
LIBC	setuid
LIBC	setvbuf
LIBC	shutdown
LIBC	sigaction
LIBC	siglongjmp
LIBC	sigprocmask
LIBC	sigsetjmp
LIBC	sin
LIBC	sinf
LIBC	snprintf
LIBC	socket
LIBC	socketpair
LIBC	sprintf
LIBC	sqrt
LIBC	sqrtf
